2023-10-06 11:14:54.805 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:14:54.947 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:14:54.948 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 146 millisecond
2023-10-06 11:15:57.626 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:58.129 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 087f22fd-6c9d-4340-aab0-322a10fb309c is creating 
2023-10-06 11:15:58.262 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:58.656 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection c03fb602-bccb-4049-b16a-1ad09ae889f4 is creating 
2023-10-06 11:15:58.813 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:59.293 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is creating 
2023-10-06 11:15:59.293 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:15:59.294 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is calling !
2023-10-06 11:15:59.296 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:15:59.296 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is returning !
2023-10-06 11:15:59.459 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:15:59.614 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:15:59.770 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:15:59.926 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:16:00.083 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:16:00.238 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:16:00.393 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
2023-10-06 11:16:00.548 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 8 is creating 
2023-10-06 11:16:00.704 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 9 is creating 
2023-10-06 11:16:00.863 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 10 is creating 
2023-10-06 11:16:00.865 [main] INFO  o.e.config.channel.ChannelPool(57) -  Create InternalPool with 10 Channel in Pool
2023-10-06 11:16:00.870 [main] INFO  o.e.c.PaymentController(33) -  Server is running on port 8080
2023-10-06 11:16:13.294 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:16:13.296 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:16:13.455 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:16:13.456 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 162 millisecond
2023-10-06 11:17:47.714 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:17:47.714 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:17:47.715 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:17:47.715 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:04.155 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:04.155 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:04.156 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:04.156 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:05.668 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:05.668 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:05.669 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:05.669 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:06.570 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:06.570 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:06.571 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:06.571 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
